cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,3,2
7,3,3
8,4,1
9,4,2
10,4,3
11,5,1
12,5,2
13,5,3
14,5,4
15,5,5
16,6,1
17,6,2
18,6,3
19,7,1
20,7,2
21,8,1
22,8,2
23,8,3
24,9,1
25,9,2
26,10,1
27,10,2
28,11,1
29,11,2
30,11,3
31,12,1
32,13,1
33,14,1
34,14,2
35,15,1
36,15,2
37,15,3
38,15,4
39,15,5
40,16,1
41,17,1
42,18,1
43,18,2
44,18,3
45,19,1
46,19,2
47,19,3
48,20,1
49,20,2
50,20,3
51,20,4
52,20,5
53,20,6
54,21,1
55,21,2
56,21,3
57,22,1
58,22,2
59,23,1
60,23,2
61,23,3
62,23,4
63,24,1
64,24,2
65,24,3
66,24,4
67,24,5
68,24,6
69,25,1
70,25,2
71,25,3
72,25,4
73,26,1
74,26,2
75,26,3
76,27,1
77,27,2
78,27,3
79,27,4
80,28,1
81,28,2
82,28,3
83,28,4
84,29,1
85,29,2
86,29,3
87,30,1
88,30,2
89,31,1
90,31,2
91,32,1
92,32,2
93,33,1
94,33,2
95,33,3
96,34,1
97,34,2
98,34,3
99,34,4
100,35,1
101,35,2
102,35,3
103,36,1
104,36,2
105,36,3
106,37,1
107,37,2
108,37,3
109,38,1
110,38,2
111,38,3
112,39,1
113,39,2
114,40,1
115,40,2
116,40,3
117,41,1
118,41,2
119,42,1
120,42,2
121,42,3
122,43,1
123,43,2
124,43,3
125,44,1
126,44,2
127,44,3
128,44,4
129,45,1
130,45,2
131,45,3
132,45,4
133,45,5
134,46,1
135,46,2
136,46,3
137,46,4
138,47,1
139,47,2
140,48,1
141,48,2
142,49,1
143,49,2
144,49,3
145,50,1
146,50,2
147,50,3
148,50,4
149,50,5
150,51,1
151,51,2
